;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products"
"1990-01-01 00:00:00";1,991;0;0;0,155;0;0;0;0,763
"1995-01-01 00:00:00";2,323;0;0;0,203;0;0;0;0,765
"2000-01-01 00:00:00";2,651;0;0;0,237;0,493;0;0;0,951
"2005-01-01 00:00:00";3,854;0;0;0,247;0,143;0;0;0,8
"2010-01-01 00:00:00";4,185;0;0;0,354;0,185;0;0;0,986
"2015-01-01 00:00:00";4,268;0;0;0,518;0,25;0;0;1,745
