;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";0,396;0,171;1,883;0,063;0,345;0,051
"1995-01-01 00:00:00";0,406;0,193;2,18;0,056;0,398;0,058
"2000-01-01 00:00:00";0,422;0,32;2,539;0,527;0,454;0,07
"2005-01-01 00:00:00";0,402;0,231;3,676;0,164;0,518;0,052
"2010-01-01 00:00:00";0,496;0,453;4,074;0,023;0,587;0,076
"2015-01-01 00:00:00";1,044;0,7;4,173;0,034;0,717;0,112
