;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";3,448;2,675;4,003;0,571;1,739;0,737
"1995-01-01 00:00:00";3,919;3,001;4,476;0,529;1,838;0,746
"2000-01-01 00:00:00";4,04;2,922;4,16;0,535;1,843;0,74
"2005-01-01 00:00:00";4,47;2,849;4,45;0,476;2,002;0,683
"2010-01-01 00:00:00";4,369;2,412;4,914;0,415;2,128;0,73
"2015-01-01 00:00:00";4,07;2,094;4,297;0,38;1,904;0,633
