;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";54,455;66,168;62,968;25,796;28,979;2,422
"1995-01-01 00:00:00";57,627;54,448;66,133;27,302;25,825;1,98
"2000-01-01 00:00:00";59,51;51,337;65,119;29,415;25,733;0,29
"2005-01-01 00:00:00";54,96;54,197;63,397;24,976;33,141;0,015
"2010-01-01 00:00:00";53,161;55,301;62,384;22,75;35,307;0
"2015-01-01 00:00:00";55,693;55,279;53,128;21,388;34,693;0
