;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";30,212;233,85;290,817;58,088;15,488;29,138
"1995-01-01 00:00:00";42,903;329,852;295,001;59,21;23,265;34,028
"2000-01-01 00:00:00";83,547;302,215;277,727;75,457;23,602;18,647
"2005-01-01 00:00:00";134,369;619,988;285,726;116,73;38,469;31,361
"2010-01-01 00:00:00";196,728;906,616;280,368;153,719;55,191;34,238
"2015-01-01 00:00:00";289,329;1016,461;314,358;216,874;79,01;41,491
