;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";20,748;66,753;119,702;17,948;9,107;8,622
"1995-01-01 00:00:00";26,077;72,754;129,312;24,721;10,121;14,296
"2000-01-01 00:00:00";31,919;83,41;140,948;32,136;10,149;15,42
"2005-01-01 00:00:00";38,719;100,891;152,408;38,096;12,141;15,415
"2010-01-01 00:00:00";64,255;158,966;176,876;47,07;17,054;19,394
"2015-01-01 00:00:00";86,005;185,779;174,059;59,685;21,978;24,828
