;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";487,57;283,755;209,892;138,663;159,271;14,405
"1995-01-01 00:00:00";527,559;272,823;247,703;141,158;173,301;15,203
"2000-01-01 00:00:00";588,242;332,286;264,059;154,547;193,053;14,104
"2005-01-01 00:00:00";622,893;276,415;271,67;169,55;200,391;22,159
"2010-01-01 00:00:00";595,753;270,429;270,118;147,49;207,352;21,846
"2015-01-01 00:00:00";614,723;259,543;255,891;148,748;208,107;20,738
